epoch,speed_mae,angle_mae,speed_mre,angle_mre
1,17.438886,0.094820,2.9065%,1.5091%
2,20.523465,0.099852,3.4206%,1.5892%
3,22.603510,0.099043,3.7673%,1.5763%
4,18.088561,0.099301,3.0148%,1.5804%
5,21.367598,0.098972,3.5613%,1.5752%
6,18.606419,0.094916,3.1011%,1.5106%
7,18.474077,0.105090,3.0790%,1.6726%
8,22.965630,0.100708,3.8276%,1.6028%
9,18.702526,0.102308,3.1171%,1.6283%
10,24.339828,0.097949,4.0566%,1.5589%
11,19.722663,0.109201,3.2871%,1.7380%
12,20.537454,0.103285,3.4229%,1.6438%
13,27.100118,0.104655,4.5167%,1.6656%
14,17.079673,0.097960,2.8466%,1.5591%
Speed_MAE: 20.539315
Angle_MAE: 0.100576
Speed_MRE: 3.4232%
Angle_MRE: 1.6007%
