epoch,train_loss,test_loss,angle_loss,speed_loss
1,0.009421,0.010573,0.009051,0.001522
2,0.008997,0.012116,0.010068,0.002048
3,0.008584,0.012222,0.009682,0.002540
4,0.008434,0.011895,0.010217,0.001678
5,0.008020,0.011636,0.009242,0.002394
6,0.008007,0.010721,0.008890,0.001831
7,0.007493,0.012841,0.011175,0.001666
8,0.007322,0.012339,0.009695,0.002644
9,0.007135,0.011846,0.010047,0.001800
10,0.006997,0.012579,0.009574,0.003005
11,0.006898,0.013489,0.011483,0.002007
12,0.006730,0.012691,0.010532,0.002159
13,0.006592,0.014274,0.010754,0.003520
14,0.006405,0.010855,0.009381,0.001475
