pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
9.120161437988281250e+01,4.898643493652343750e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.520026922225952148e-01,7.796432822942733765e-03,9.120161437988281250e+01,4.898643493652343750e-02
7.398494720458984375e+01,3.637552261352539062e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.233082488179206848e-01,5.789344199001789093e-03,7.398494720458984375e+01,3.637552261352539062e-02
7.649900054931640625e+01,2.301073074340820312e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.274983286857604980e-01,3.662271425127983093e-03,7.649900054931640625e+01,2.301073074340820312e-02
7.294832611083984375e+01,4.126834869384765625e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.215805411338806152e-01,6.568061653524637222e-03,7.294832611083984375e+01,4.126834869384765625e-02
7.488630676269531250e+01,1.422595977783203125e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.248105093836784363e-01,2.264131791889667511e-03,7.488630676269531250e+01,1.422595977783203125e-02
7.721453857421875000e+01,2.955770492553710938e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.286908984184265137e-01,4.704254679381847382e-03,7.721453857421875000e+01,2.955770492553710938e-02
8.124772644042968750e+01,3.049850463867187500e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.354128718376159668e-01,4.853987775277346373e-04,8.124772644042968750e+01,3.049850463867187500e-03
6.929837799072265625e+01,3.669261932373046875e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.154972985386848450e-01,5.839811637997627258e-04,6.929837799072265625e+01,3.669261932373046875e-03
7.578409576416015625e+01,6.277865886688232422e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.263068318367004395e-01,8.466398576274514198e-04,7.578409576416015625e+01,5.319595336914062500e-03
8.187357330322265625e+01,6.279241085052490234e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.364559531211853027e-01,6.277702632360160351e-04,8.187357330322265625e+01,3.944396972656250000e-03
7.800046539306640625e+01,5.047225952148437500e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.300007700920104980e-01,8.032909594476222992e-03,7.800046539306640625e+01,5.047225952148437500e-02
7.673610687255859375e+01,4.379940032958984375e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.278935074806213379e-01,6.970890797674655914e-03,7.673610687255859375e+01,4.379940032958984375e-02
7.030237579345703125e+01,6.264334201812744141e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.171706244349479675e-01,3.000274300575256348e-03,7.030237579345703125e+01,1.885128021240234375e-02
7.388140869140625000e+01,2.315807342529296875e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.231356784701347351e-01,3.685721661895513535e-03,7.388140869140625000e+01,2.315807342529296875e-02
7.855231475830078125e+01,7.221651077270507812e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.309205293655395508e-01,1.149361394345760345e-02,7.855231475830078125e+01,7.221651077270507812e-02
7.525466918945312500e+01,8.088445663452148438e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.254244446754455566e-01,1.287316065281629562e-02,7.525466918945312500e+01,8.088445663452148438e-02
7.435219573974609375e+01,9.865522384643554688e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.239203289151191711e-01,1.570146530866622925e-02,7.435219573974609375e+01,9.865522384643554688e-02
8.038448333740234375e+01,2.790880203247070312e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.339741349220275879e-01,4.441823810338973999e-03,8.038448333740234375e+01,2.790880203247070312e-02
7.628338623046875000e+01,1.259660720825195312e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.271389722824096680e-01,2.004812238737940788e-03,7.628338623046875000e+01,1.259660720825195312e-02
7.755213928222656250e+01,6.249527454376220703e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.292535662651062012e-01,5.356841254979372025e-03,7.755213928222656250e+01,3.365802764892578125e-02
7.105865478515625000e+01,6.262351989746093750e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.184310913085937500e-01,3.315753070637583733e-03,7.105865478515625000e+01,2.083349227905273438e-02
8.532621765136718750e+01,3.273773193359375000e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.422103643417358398e-01,5.210371688008308411e-03,8.532621765136718750e+01,3.273773193359375000e-02
7.738397979736328125e+01,7.739543914794921875e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.289733052253723145e-01,1.231786678545176983e-03,7.738397979736328125e+01,7.739543914794921875e-03
8.416525268554687500e+01,2.728452682495117188e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.402754187583923340e-01,4.342467337846755981e-02,8.416525268554687500e+01,2.728452682495117188e-01
7.350061035156250000e+01,3.265333175659179688e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.225010156631469727e-01,5.196939222514629364e-03,7.350061035156250000e+01,3.265333175659179688e-02
7.156713104248046875e+01,6.244240283966064453e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.192785501480102539e-01,6.198320537805557251e-03,7.156713104248046875e+01,3.894519805908203125e-02
7.256416320800781250e+01,3.857755661010742188e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.209402754902839661e-01,6.139808800071477890e-03,7.256416320800781250e+01,3.857755661010742188e-02
7.794409942626953125e+01,6.197628021240234375e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299068331718444824e-01,1.361689250916242599e-02,7.794409942626953125e+01,8.555746078491210938e-02
7.541524505615234375e+01,3.449916839599609375e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.256920695304870605e-01,5.490712937898933887e-04,7.541524505615234375e+01,3.449916839599609375e-03
7.535530090332031250e+01,6.273545742034912109e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.255921721458435059e-01,1.534212264232337475e-03,7.535530090332031250e+01,9.639739990234375000e-03
7.171743774414062500e+01,6.758832931518554688e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.195290610194206238e-01,1.075701601803302765e-02,7.171743774414062500e+01,6.758832931518554688e-02
7.036725616455078125e+01,6.209183692932128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.172787621617317200e-01,1.177775021642446518e-02,7.036725616455078125e+01,7.400178909301757812e-02
7.415818023681640625e+01,7.225179672241210938e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.235969662666320801e-01,1.149922981858253479e-02,7.415818023681640625e+01,7.225179672241210938e-02
7.997903442382812500e+01,1.422405242919921875e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.332983970642089844e-01,2.263828180730342865e-03,7.997903442382812500e+01,1.422405242919921875e-02
8.146676635742187500e+01,6.120101928710937500e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.357779502868652344e-01,2.595555223524570465e-02,8.146676635742187500e+01,1.630835533142089844e-01
7.717520141601562500e+01,3.045320510864257812e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.286253333091735840e-01,4.846777766942977905e-03,7.717520141601562500e+01,3.045320510864257812e-02
7.899617004394531250e+01,6.261388778686523438e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316602826118469238e-01,3.469052957370877266e-03,7.899617004394531250e+01,2.179670333862304688e-02
7.496963500976562500e+01,1.762962341308593750e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.249493882060050964e-01,2.805841621011495590e-03,7.496963500976562500e+01,1.762962341308593750e-02
7.409538269042968750e+01,6.640577316284179688e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.234923079609870911e-01,1.056880690157413483e-02,7.409538269042968750e+01,6.640577316284179688e-02
8.144924926757812500e+01,1.008057594299316406e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.357487440109252930e-01,1.604373380541801453e-02,8.144924926757812500e+01,1.008057594299316406e-01
7.113597106933593750e+01,6.246485710144042969e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.185599491000175476e-01,5.840949714183807373e-03,7.113597106933593750e+01,3.669977188110351562e-02
7.390119171142578125e+01,6.280819892883300781e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.231686547398567200e-01,3.764951834455132484e-04,7.390119171142578125e+01,2.365589141845703125e-03
