epoch,speed_mae,angle_mae,speed_mre,angle_mre
2,31.238340,0.167092,5.2064%,2.6594%
3,30.821772,0.240573,5.1370%,3.8288%
4,25.466252,0.163528,4.2444%,2.6026%
5,43.978996,0.185256,7.3298%,2.9484%
6,33.939391,0.250477,5.6566%,3.9865%
7,50.956866,0.434275,8.4928%,6.9117%
8,37.964077,0.207689,6.3273%,3.3055%
9,39.268984,0.149743,6.5448%,2.3832%
10,30.984418,0.152067,5.1641%,2.4202%
11,30.257744,0.119763,5.0430%,1.9061%
12,27.151023,0.113450,4.5252%,1.8056%
13,31.509085,0.135132,5.2515%,2.1507%
14,25.757318,0.119233,4.2929%,1.8977%
15,29.793574,0.114897,4.9656%,1.8286%
16,26.090043,0.133631,4.3483%,2.1268%
17,22.441447,0.116116,3.7402%,1.8480%
18,22.863766,0.113301,3.8106%,1.8032%
19,21.784199,0.128069,3.6307%,2.0383%
20,21.493012,0.117246,3.5822%,1.8660%
21,20.516270,0.117993,3.4194%,1.8779%
22,22.368172,0.119551,3.7280%,1.9027%
23,23.214139,0.125022,3.8690%,1.9898%
24,22.303142,0.113309,3.7172%,1.8034%
25,21.787866,0.105845,3.6313%,1.6846%
26,17.736681,0.101376,2.9561%,1.6134%
27,16.959453,0.101270,2.8266%,1.6118%
28,17.614379,0.095697,2.9357%,1.5231%
29,15.033825,0.094841,2.5056%,1.5094%
30,16.874141,0.092194,2.8124%,1.4673%
31,15.033562,0.092716,2.5056%,1.4756%
32,15.085415,0.098471,2.5142%,1.5672%
33,13.502404,0.095951,2.2504%,1.5271%
34,12.737633,0.095098,2.1229%,1.5135%
35,12.905245,0.095736,2.1509%,1.5237%
36,12.998279,0.103726,2.1664%,1.6509%
37,12.289399,0.098402,2.0482%,1.5661%
38,12.640685,0.102323,2.1068%,1.6285%
39,12.091564,0.103405,2.0153%,1.6457%
40,11.811035,0.104366,1.9685%,1.6610%
41,12.146483,0.106372,2.0244%,1.6930%
42,11.944899,0.107297,1.9908%,1.7077%
43,12.485535,0.108253,2.0809%,1.7229%
44,13.149136,0.104785,2.1915%,1.6677%
45,13.434621,0.107007,2.2391%,1.7031%
46,13.706852,0.104254,2.2845%,1.6593%
47,13.625236,0.105746,2.2709%,1.6830%
48,13.912949,0.108632,2.3188%,1.7289%
49,14.184984,0.106320,2.3642%,1.6921%
50,13.428922,0.107432,2.2382%,1.7098%
51,13.039374,0.106921,2.1732%,1.7017%
52,12.730219,0.105742,2.1217%,1.6829%
53,12.283975,0.107551,2.0473%,1.7117%
54,12.111995,0.104358,2.0187%,1.6609%
55,11.955663,0.105352,1.9926%,1.6767%
56,12.365711,0.105499,2.0610%,1.6791%
57,12.511918,0.107625,2.0853%,1.7129%
58,12.255101,0.103045,2.0425%,1.6400%
59,11.804052,0.105140,1.9673%,1.6734%
60,13.001260,0.100945,2.1669%,1.6066%
61,13.002969,0.098983,2.1672%,1.5754%
62,13.263683,0.098702,2.2106%,1.5709%
63,13.162068,0.111131,2.1937%,1.7687%
64,13.300175,0.100661,2.2167%,1.6021%
65,14.038777,0.106916,2.3398%,1.7016%
66,14.666042,0.102374,2.4443%,1.6293%
67,13.659252,0.100225,2.2765%,1.5951%
68,14.635705,0.101500,2.4393%,1.6154%
69,14.765332,0.109435,2.4609%,1.7417%
70,18.215983,0.101162,3.0360%,1.6100%
71,15.177660,0.100699,2.5296%,1.6027%
72,16.653744,0.099359,2.7756%,1.5814%
73,18.705483,0.107841,3.1176%,1.7163%
74,18.289100,0.111110,3.0482%,1.7684%
75,16.761242,0.097336,2.7935%,1.5491%
76,21.015774,0.102606,3.5026%,1.6330%
77,20.051428,0.095796,3.3419%,1.5246%
78,21.829645,0.104493,3.6383%,1.6631%
79,20.037637,0.113465,3.3396%,1.8059%
80,19.931882,0.120458,3.3220%,1.9171%
81,20.371179,0.099417,3.3952%,1.5823%
82,24.230448,0.098511,4.0384%,1.5679%
83,21.174416,0.104106,3.5291%,1.6569%
84,20.670040,0.113517,3.4450%,1.8067%
85,22.182674,0.112617,3.6971%,1.7924%
86,21.298879,0.105488,3.5498%,1.6789%
87,26.598699,0.113088,4.4331%,1.7998%
88,23.722088,0.102102,3.9537%,1.6250%
89,24.957352,0.118259,4.1596%,1.8821%
90,22.463442,0.107123,3.7439%,1.7049%
91,24.529696,0.109344,4.0883%,1.7403%
92,27.266157,0.119683,4.5444%,1.9048%
93,25.341576,0.101653,4.2236%,1.6179%
94,24.591266,0.114141,4.0985%,1.8166%
95,21.400019,0.096945,3.5667%,1.5429%
96,27.240500,0.103478,4.5401%,1.6469%
97,25.559972,0.128785,4.2600%,2.0497%
98,29.182557,0.105736,4.8638%,1.6828%
99,26.470921,0.094115,4.4118%,1.4979%
100,24.557878,0.098715,4.0930%,1.5711%
Speed_MAE: 20.003190
Angle_MAE: 0.116850
Speed_MRE: 3.3339%
Angle_MRE: 1.8597%
