epoch,train_loss,test_loss
2,0.031906,0.010689
3,0.031410,0.015938
4,0.033405,0.009385
5,0.033167,0.016669
6,0.034108,0.017679
7,0.030644,0.047616
8,0.028171,0.015610
9,0.024612,0.011481
10,0.021864,0.009789
11,0.020418,0.007355
12,0.019052,0.006286
13,0.018182,0.008512
14,0.017384,0.006422
15,0.016647,0.006669
16,0.015950,0.007753
17,0.015464,0.005479
18,0.014995,0.005603
19,0.014402,0.006213
20,0.013803,0.005488
21,0.013608,0.005463
22,0.013338,0.005402
23,0.013090,0.007022
24,0.012861,0.004977
25,0.012360,0.004689
26,0.012142,0.003869
27,0.011886,0.003764
28,0.011562,0.003752
29,0.011417,0.003295
30,0.011216,0.003514
31,0.011067,0.003176
32,0.010916,0.003374
33,0.010724,0.003244
34,0.010637,0.003059
35,0.010533,0.003119
36,0.010382,0.003463
37,0.010327,0.003119
38,0.010246,0.003342
39,0.010154,0.003263
40,0.010040,0.003262
41,0.010055,0.003365
42,0.009921,0.003405
43,0.009913,0.003513
44,0.009907,0.003385
45,0.009838,0.003522
46,0.009831,0.003437
47,0.009811,0.003529
48,0.009828,0.003583
49,0.009812,0.003614
50,0.009802,0.003563
51,0.009848,0.003422
52,0.009836,0.003453
53,0.009856,0.003386
54,0.009871,0.003259
55,0.009893,0.003239
56,0.009910,0.003309
57,0.010002,0.003432
58,0.010034,0.003219
59,0.010000,0.003236
60,0.010071,0.003256
61,0.010168,0.003186
62,0.010132,0.003266
63,0.010229,0.003737
64,0.010290,0.003311
65,0.010281,0.003564
66,0.010329,0.003433
67,0.010457,0.003303
68,0.010505,0.003450
69,0.010585,0.003671
70,0.010641,0.003948
71,0.010657,0.003617
72,0.010709,0.003614
73,0.010747,0.004538
74,0.010931,0.004514
75,0.011003,0.003853
76,0.011020,0.004569
77,0.011093,0.004014
78,0.011238,0.004901
79,0.011285,0.004646
80,0.011250,0.005674
81,0.011544,0.004334
82,0.011645,0.004988
83,0.011636,0.004516
84,0.011570,0.004751
85,0.011416,0.005353
86,0.011441,0.004698
87,0.011647,0.005841
88,0.011432,0.005167
89,0.011379,0.006493
90,0.011486,0.005062
91,0.011331,0.005726
92,0.011303,0.007026
93,0.011260,0.005344
94,0.011293,0.005576
95,0.011184,0.004511
96,0.010735,0.005620
97,0.014475,0.006901
98,0.013505,0.006407
99,0.011096,0.005321
100,0.010523,0.004981
