pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
4.011143493652343750e+01,6.065284252166748047e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.685239076614379883e-02,3.468005731701850891e-02,4.011143493652343750e+01,2.179012298583984375e-01
4.864093017578125000e+01,6.262146472930908203e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.106821775436401367e-02,3.348462283611297607e-03,4.864093017578125000e+01,2.103900909423828125e-02
3.794818115234375000e+01,5.932431221008300781e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.324696540832519531e-02,5.582427233457565308e-02,3.794818115234375000e+01,3.507542610168457031e-01
2.588635635375976562e+01,6.231623649597167969e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.314392805099487305e-02,8.206319995224475861e-03,2.588635635375976562e+01,5.156183242797851562e-02
3.159558105468750000e+01,6.017526626586914062e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.265930294990539551e-02,4.228091984987258911e-02,3.159558105468750000e+01,2.656588554382324219e-01
3.705094528198242188e+01,6.098106384277343750e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.175157427787780762e-02,2.945625223219394684e-02,3.705094528198242188e+01,1.850790977478027344e-01
1.944286727905273438e+01,5.979235172271728516e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.240478038787841797e-02,4.837519302964210510e-02,1.944286727905273438e+01,3.039503097534179688e-01
2.967170524597167969e+01,6.216650009155273438e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.945284128189086914e-02,1.058944873511791229e-02,2.967170524597167969e+01,6.653547286987304688e-02
5.380226898193359375e+01,6.025929927825927734e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.967044949531555176e-02,4.094349220395088196e-02,5.380226898193359375e+01,2.572555541992187500e-01
6.350156784057617188e+01,6.216599464416503906e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.058359444141387939e-01,1.059749349951744080e-02,6.350156784057617188e+01,6.658601760864257812e-02
6.696313476562500000e+01,2.333493232727050781e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.116052269935607910e-01,3.713869675993919373e-02,6.696313476562500000e+01,2.333493232727050781e-01
5.745055770874023438e+01,6.196921825408935547e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.575092792510986328e-02,1.372928731143474579e-02,5.745055770874023438e+01,8.626365661621093750e-02
6.870024108886718750e+01,7.974576950073242188e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.145004034042358398e-01,1.269193273037672043e-02,6.870024108886718750e+01,7.974576950073242188e-02
7.061015319824218750e+01,2.142190933227539062e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.176835894584655762e-01,3.409402677789330482e-03,7.061015319824218750e+01,2.142190933227539062e-02
6.766315460205078125e+01,1.614394187927246094e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.127719208598136902e-01,2.569388039410114288e-02,6.766315460205078125e+01,1.614394187927246094e-01
5.685471343994140625e+01,5.202627182006835938e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.475785493850708008e-02,8.280238136649131775e-03,5.685471343994140625e+01,5.202627182006835938e-02
7.252568054199218750e+01,5.897637367248535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.208761334419250488e-01,6.136188656091690063e-02,7.252568054199218750e+01,3.855481147766113281e-01
2.288106727600097656e+01,5.947216033935546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.813511133193969727e-02,5.347119644284248352e-02,2.288106727600097656e+01,3.359694480895996094e-01
3.089767074584960938e+01,6.117853641510009766e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.149611830711364746e-02,2.631337940692901611e-02,3.089767074584960938e+01,1.653318405151367188e-01
3.096973228454589844e+01,5.789162635803222656e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.161622166633605957e-02,7.862617820501327515e-02,3.096973228454589844e+01,4.940228462219238281e-01
6.702217864990234375e+01,5.904183864593505859e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.117036342620849609e-01,6.031997874379158020e-02,6.702217864990234375e+01,3.790016174316406250e-01
6.353473663330078125e+01,5.861653327941894531e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.058912277221679688e-01,6.708892434835433960e-02,6.353473663330078125e+01,4.215321540832519531e-01
6.009038543701171875e+01,6.050237178802490234e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001506447792053223e-01,3.707487136125564575e-02,6.009038543701171875e+01,2.329483032226562500e-01
3.985521316528320312e+01,6.039942264556884766e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.642535328865051270e-02,3.871335834264755249e-02,3.985521316528320312e+01,2.432432174682617188e-01
1.405931663513183594e+01,6.034506320953369141e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.343219518661499023e-02,3.957851603627204895e-02,1.405931663513183594e+01,2.486791610717773438e-01
5.673844909667968750e+01,5.832615375518798828e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.456408023834228516e-02,7.171045988798141479e-02,5.673844909667968750e+01,4.505701065063476562e-01
3.732984161376953125e+01,5.917201519012451172e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.221640110015869141e-02,5.824815481901168823e-02,3.732984161376953125e+01,3.659839630126953125e-01
1.664335632324218750e+01,6.033362388610839844e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.773892693221569061e-02,3.976057842373847961e-02,1.664335632324218750e+01,2.498230934143066406e-01
