epoch,speed_mae,angle_mae,speed_mre,angle_mre
1,51.735582,0.253836,8.6226%,4.0399%
2,18.579272,0.143742,3.0965%,2.2877%
3,19.229966,0.154783,3.2050%,2.4635%
4,28.757788,0.111995,4.7930%,1.7825%
5,25.841646,0.152558,4.3069%,2.4280%
6,23.879348,0.128566,3.9799%,2.0462%
7,16.338797,0.093535,2.7231%,1.4887%
8,23.936963,0.239583,3.9895%,3.8131%
9,25.631821,0.319841,4.2720%,5.0904%
10,18.493310,0.107694,3.0822%,1.7140%
11,12.937168,0.093219,2.1562%,1.4836%
12,16.439644,0.110239,2.7399%,1.7545%
13,22.960443,0.134885,3.8267%,2.1468%
14,15.168835,0.098575,2.5281%,1.5689%
15,86.107287,0.493165,14.3512%,7.8490%
16,15.533985,0.099287,2.5890%,1.5802%
17,14.237763,0.096955,2.3730%,1.5431%
18,12.801428,0.099198,2.1336%,1.5788%
19,12.298512,0.096115,2.0498%,1.5297%
20,16.273710,0.109194,2.7123%,1.7379%
21,17.180417,0.115460,2.8634%,1.8376%
22,15.240675,0.103252,2.5401%,1.6433%
23,15.823433,0.112231,2.6372%,1.7862%
24,18.373052,0.118951,3.0622%,1.8932%
25,15.407304,0.112309,2.5679%,1.7874%
26,11.181233,0.079152,1.8635%,1.2597%
27,10.237607,0.089561,1.7063%,1.4254%
28,10.824189,0.089951,1.8040%,1.4316%
29,11.027942,0.087948,1.8380%,1.3997%
30,11.567781,0.093112,1.9280%,1.4819%
31,11.080923,0.086622,1.8468%,1.3786%
32,10.932137,0.079769,1.8220%,1.2696%
33,11.572557,0.081511,1.9288%,1.2973%
34,11.592867,0.079600,1.9321%,1.2669%
35,11.242588,0.078731,1.8738%,1.2530%
36,11.546984,0.080021,1.9245%,1.2736%
37,12.122961,0.077444,2.0205%,1.2326%
38,11.992591,0.080495,1.9988%,1.2811%
39,11.346010,0.072609,1.8910%,1.1556%
40,11.689311,0.072312,1.9482%,1.1509%
41,11.148731,0.071937,1.8581%,1.1449%
42,10.557832,0.069749,1.7596%,1.1101%
43,10.479159,0.070621,1.7465%,1.1240%
44,10.370622,0.070293,1.7284%,1.1187%
45,9.962051,0.069948,1.6603%,1.1133%
46,9.727795,0.070177,1.6213%,1.1169%
47,9.628600,0.070282,1.6048%,1.1186%
48,9.601150,0.070641,1.6002%,1.1243%
49,9.661385,0.069869,1.6102%,1.1120%
50,9.784593,0.070323,1.6308%,1.1192%
51,9.969018,0.070168,1.6615%,1.1168%
52,10.199351,0.069491,1.6999%,1.1060%
53,10.382399,0.070020,1.7304%,1.1144%
54,10.737973,0.071212,1.7897%,1.1334%
55,10.924815,0.071296,1.8208%,1.1347%
56,11.322661,0.071453,1.8871%,1.1372%
57,11.363386,0.073863,1.8939%,1.1756%
58,11.287820,0.073498,1.8813%,1.1698%
59,11.301357,0.076766,1.8836%,1.2218%
60,11.274584,0.078822,1.8791%,1.2545%
61,10.449374,0.073503,1.7416%,1.1698%
62,10.760383,0.073287,1.7934%,1.1664%
63,14.255954,0.097093,2.3760%,1.5453%
64,12.038552,0.093453,2.0064%,1.4874%
65,10.495059,0.076635,1.7492%,1.2197%
66,10.684511,0.074655,1.7808%,1.1882%
67,9.717175,0.077308,1.6195%,1.2304%
68,11.993554,0.085235,1.9989%,1.3566%
69,9.964475,0.075186,1.6607%,1.1966%
70,10.867418,0.077698,1.8112%,1.2366%
71,12.227371,0.092342,2.0379%,1.4697%
72,14.734327,0.113837,2.4557%,1.8118%
73,12.146213,0.077607,2.0244%,1.2352%
74,10.133732,0.073928,1.6890%,1.1766%
75,11.482386,0.078817,1.9137%,1.2544%
76,11.347214,0.077196,1.8912%,1.2286%
77,17.862408,0.094576,2.9771%,1.5052%
78,9.630895,0.083318,1.6051%,1.3260%
79,11.035970,0.084655,1.8393%,1.3473%
80,10.555556,0.085876,1.7593%,1.3668%
81,11.073796,0.078736,1.8456%,1.2531%
82,13.537806,0.078476,2.2563%,1.2490%
83,12.767449,0.078950,2.1279%,1.2565%
84,14.871415,0.081370,2.4786%,1.2950%
85,19.198966,0.081260,3.1998%,1.2933%
86,14.563694,0.081887,2.4273%,1.3033%
87,9.733900,0.080078,1.6223%,1.2745%
88,18.019872,0.244372,3.0033%,3.8893%
89,10.983867,0.083274,1.8306%,1.3253%
90,12.039085,0.090881,2.0065%,1.4464%
91,13.294177,0.097594,2.2157%,1.5533%
92,13.871356,0.095558,2.3119%,1.5208%
93,11.905315,0.076468,1.9842%,1.2170%
94,14.547901,0.092179,2.4247%,1.4671%
95,10.245587,0.075536,1.7076%,1.2022%
96,9.619806,0.083257,1.6033%,1.3251%
97,9.296355,0.078344,1.5494%,1.2469%
98,11.064844,0.081440,1.8441%,1.2962%
99,9.596044,0.079652,1.5993%,1.2677%
100,14.195054,0.097635,2.3658%,1.5539%
Speed_MAE: 14.256599
Angle_MAE: 0.098616
Speed_MRE: 2.3761%
Angle_MRE: 1.5695%
