epoch,train_loss,test_loss
1,0.389100,0.115404
2,0.041318,0.022447
3,0.031598,0.024587
4,0.028719,0.015887
5,0.032034,0.025577
6,0.024373,0.017964
7,0.019287,0.010225
8,0.018317,0.058597
9,0.016650,0.102465
10,0.015487,0.012848
11,0.011855,0.009182
12,0.012359,0.012663
13,0.010074,0.019218
14,0.009568,0.011044
15,0.009809,0.212633
16,0.008187,0.010421
17,0.007352,0.010243
18,0.007245,0.010889
19,0.007638,0.010823
20,0.008757,0.012958
21,0.005875,0.014197
22,0.005800,0.013462
23,0.004813,0.015635
24,0.004291,0.015248
25,0.003911,0.013001
26,0.005013,0.007036
27,0.003789,0.009243
28,0.003495,0.009293
29,0.003278,0.008987
30,0.003080,0.010242
31,0.003225,0.009689
32,0.002831,0.008063
33,0.002713,0.008214
34,0.002538,0.008146
35,0.002430,0.007697
36,0.002320,0.008184
37,0.002231,0.007806
38,0.002179,0.008245
39,0.002062,0.006725
40,0.002039,0.006560
41,0.001969,0.006691
42,0.001922,0.006228
43,0.001867,0.006365
44,0.001861,0.006246
45,0.001826,0.006098
46,0.001808,0.006098
47,0.001801,0.006091
48,0.001791,0.006193
49,0.001786,0.006047
50,0.001788,0.006172
51,0.001765,0.006111
52,0.001769,0.006154
53,0.001753,0.006207
54,0.001746,0.006429
55,0.001741,0.006647
56,0.001718,0.006565
57,0.001720,0.007119
58,0.001716,0.006829
59,0.001689,0.007848
60,0.001686,0.008061
61,0.001687,0.006631
62,0.001693,0.006861
63,0.001689,0.011707
64,0.001713,0.013465
65,0.001707,0.007492
66,0.001884,0.007275
67,0.001806,0.007326
68,0.001694,0.009282
69,0.001813,0.007519
70,0.002063,0.008224
71,0.001809,0.011252
72,0.003341,0.016856
73,0.002476,0.007502
74,0.001770,0.006860
75,0.002583,0.008128
76,0.001930,0.008168
77,0.001872,0.012799
78,0.004616,0.008276
79,0.004390,0.008266
80,0.003826,0.008364
81,0.001858,0.007257
82,0.001728,0.007543
83,0.004018,0.008177
84,0.003001,0.008509
85,0.002677,0.008843
86,0.002189,0.009843
87,0.001966,0.008323
88,0.004621,0.081627
89,0.002435,0.008535
90,0.001672,0.012271
91,0.002612,0.013108
92,0.001804,0.012912
93,0.001685,0.007474
94,0.004294,0.010406
95,0.004582,0.006955
96,0.002434,0.008108
97,0.001877,0.007211
98,0.001704,0.008153
99,0.005479,0.007276
100,0.003134,0.015421
